,Albany,Annapolis,Atlanta,Austin,Austin,Baton Rouge,Bismarck,Boise,Boston,Carson City,Charleston,Cheyenne,Columbia,Columbus,Concord,Denver,Des Moines,Dover,Frankfurt,Harrisburg,Hartford,Helena,Indianapolis,Jackson,Jefferson City,Lansing,Lincoln,Litle Rock,Madison,Montgomery,Montpellier,Nashville,Oklahoma City,Olynpia,Phoenix,Pierre,Providence,Raleigh,Richmond,Sacremento,Salem,Salt Lake City,Santa Fe,Springfield,St Paul,Tallahassee,Topeka,Trenton,Washington DC
Hartford,84.8934794245,286.722238542,819.6436116445,221.4567613581,1563.7748269098,1259.9909344347,1387.4848231259,2145.9027584326,87.538471142,2377.4391573028,523.0358227476,1617.4062610081,678.3396807095,550.9711526959,116.1081364185,1639.9262508138,1032.2822959323,232.9758731869,669.7476438937,232.0481187977,0,1927.2806256314,706.999596542,1137.4945315692,996.4585299445,618.6451949888,1212.6654247699,1141.9288735416,831.7951777193,963.7591609078,173.5447685919,843.6767986264,1383.1767632388,2394.6740004222,2151.0997620444,1377.5210966821,64.4199266841,484.8155425515,362.7189145287,2471.6068446354,2456.6664420113,1972.4014583201,1775.2602716617,871.7865965809,1014.5710698651,990.7165877258,1183.3533093648,145.3252567211,304.0540540541
Helena,1851.0264313416,1821.5124726703,1654.1832223015,1999.5129291858,1348.874926855,1553.7396861823,540.1523099055,272.8968652264,1984.702729202,629.7010926095,1605.084171383,517.459942236,1806.707735493,1485.2631637017,1947.6765952785,594.3891690594,977.7080726052,1866.301958028,1480.1531234333,1776.4090488507,1927.2806256314,0,1349.8615098188,1490.9331525757,1157.9169005484,1322.0334916175,850.114932289,1296.6415149946,1118.2503878273,1670.08576126,1869.2189915637,1447.3384618266,1063.1365450249,471.9883573733,907.7551196193,571.0678743948,1987.7405721514,1869.7168080471,1833.9083837053,711.0127783153,535.4460092111,421.4071699934,819.2199072237,1212.9161308766,916.3171135547,1822.8428669537,965.2757187946,1876.8529923405,1799.2705333426
Indianapolis,660.8543344977,502.8498041096,408.5402446306,876.7354697986,901.4460625308,686.5160799112,845.1171356522,1527.4828905778,789.1698095547,1712.9277922965,256.721192416,953.0239538877,485.9160506993,159.0150701956,782.4560632197,958.8030682022,375.3285631471,559.0553769853,143.5902222845,491.8329523643,706.999596542,1349.8615098188,0,549.3392837297,289.4676923653,232.9758731869,537.5291963803,474.2246950114,275.7427382659,515.7140793961,747.184268858,249.9908690809,679.4532912705,1820.1765912209,1446.2592802712,779.0563981118,770.8301663542,519.8563639628,495.3582938629,1805.3700028897,1851.0830344132,1308.8772657736,1070.4334181549,166.9807729185,481.8102961039,642.6538862646,483.3173804912,601.1220334095,478.4470862248
Jackson,1120.0952248077,861.7249272568,344.9521197759,1343.5030541601,453.2434245515,137.1804674245,1114.9551560489,1582.6720166221,1225.0288826517,1651.7036659159,618.1368982529,987.0768318745,543.575936851,642.7721560227,1238.4455017377,938.3296183153,651.5812087416,923.5883449738,493.6341472112,906.0833484463,1137.4945315692,1490.9331525757,549.3392837297,0,426.3219032962,780.7317674902,675.9702060766,195.9622546801,737.8489752649,245.4795845741,1229.9511606402,313.2724201135,464.3617642144,1922.9404471998,1228.0304564812,990.0735413286,1193.6986443889,729.7578823398,803.9737070916,1733.1934545131,1903.0718171222,1288.0476843298,893.2176878219,490.6452311783,869.4244777847,369.2584567603,544.7727057678,999.5052190861,840.1898655818
Jefferson City,949.4128072643,781.194756995,496.4271544239,1162.9995804407,656.0087081189,547.6200249679,714.5176825151,1302.4007514248,1078.5345853131,1453.7571597327,518.1780500945,706.9472897015,656.086995826,446.8157978351,1070.6579457582,696.3096006072,227.8400019134,840.1605228548,364.8704954521,779.0643092548,996.4585299445,1157.9169005484,289.4676923653,426.3219032962,0,457.5022901666,308.0147440335,265.0371750597,337.2549024812,529.4538719129,1031.4460850168,289.6379758404,394.1095222889,1617.5878885129,1158.7682214699,608.16215976,1060.2514018204,755.7739757431,761.0103070018,1544.3298879371,1628.7322986475,1055.0709751483,783.3718628656,129.364985559,443.2890755803,682.0968535363,211.9479465982,888.0252486391,756.5374320205
Lansing,551.6195690998,508.6909035498,620.167585565,742.3514305619,1107.0240247531,917.768805302,787.4889125798,1530.9140912251,687.9032119945,1759.2749623034,361.5275298751,1000.7541440483,648.2209316175,228.7938009652,664.2867872534,1028.5878964037,422.5026527724,547.5975152559,340.5887996693,454.9625924789,618.6451949888,1322.0334916175,232.9758731869,780.7317674902,457.5022901666,0,604.6149672171,688.1420900932,213.1850449819,740.4089077131,606.3894632611,482.227983024,846.2710389071,1793.0300133925,1562.1067803238,762.2187658682,682.0576974881,612.0715433197,538.0220043238,1853.5519078098,1845.5543983458,1354.5955989406,1189.6783775771,331.7643253389,406.0940097776,856.763684003,600.1437921197,554.9835644024,488.618638459
Lincoln,1151.8597802035,1038.5521981928,804.0733588416,1346.9545024618,724.7153165159,769.3415453753,442.1010538953,999.3325475239,1287.2307919563,1176.180576579,791.519663924,415.4960424428,961.5888057844,691.513370382,1267.4220512336,427.433628695,182.1168441504,1092.5976528977,649.9301108688,1017.0142244815,1212.6654247699,850.114932289,537.5291963803,675.9702060766,308.0147440335,604.6149672171,0,481.9808242808,400.941641821,826.1969204441,1210.9429600303,597.6430606169,381.8996384134,1309.9833693791,962.724744425,314.3526166068,1276.990025204,1045.6984308017,1032.6245487732,1269.0500536679,1325.2122299263,771.560086532,597.0618344741,379.7038800473,335.0731470571,979.6162562432,132.3789881129,1125.4746989727,1014.4070385615
Litle Rock,1110.4057014298,886.7380266892,440.0936632496,1332.4908503723,428.5664392384,292.6369994387,922.8317429837,1395.9742350814,1228.4017926588,1484.0066846309,622.3501166069,796.9336092184,638.9027127866,604.6693311224,1232.062311066,753.8714905415,476.4591597382,949.2310235964,472.2450962917,911.5132827187,1141.9288735416,1296.6415149946,474.2246950114,195.9622546801,265.0371750597,688.1420900932,481.9808242808,0,599.5684167302,395.2650727309,1208.8034231632,304.2229260771,300.9981568564,1732.9219909548,1096.7134147524,795.4421844543,1202.601157268,796.7840766888,843.6548826347,1568.4330381093,1718.5137047876,1109.2302327636,741.4431518376,363.9910708174,701.3074115278,540.3196339143,350.0658656589,1014.5366457411,863.0589782013
Madison,764.4472286405,703.4251094376,676.3469638327,950.3384983808,987.2537279249,868.9304778349,591.7148476423,1320.5034857232,900.784902442,1546.1646096066,506.0143210035,788.458797518,760.5755480907,375.8755301572,875.7601310624,819.4330403821,221.790476215,748.2915164372,419.1635074992,660.1576111696,831.7951777193,1118.2503878273,275.7427382659,737.8489752649,337.2549024812,213.1850449819,400.941641821,599.5684167302,0,766.6397370907,814.1510588806,490.3771785163,690.1543321543,1590.1429501461,1363.4405198366,552.847235447,895.2417129561,772.0445425937,719.9713516945,1640.471106995,1637.2368947037,1141.6319870537,995.1278314984,247.3720533885,213.1464943406,904.6923876596,420.2599503382,763.5759960083,681.4218500788
Montgomery,960.9412330229,678.1700579245,146.0866438924,1179.863812386,691.7628812366,321.8444038768,1243.816884404,1785.6037245331,1050.0586960533,1878.7785156153,475.7817180633,1184.0648962779,315.6569899135,547.8713205944,1072.6210362981,1146.7760968743,750.761118547,736.8152625934,404.1111095936,739.8509809878,963.7591609078,1670.08576126,515.7140793961,245.4795845741,529.4538719129,740.4089077131,826.1969204441,395.2650727309,766.6397370907,0,1079.4389978301,276.2786529634,691.9321409323,2117.3071124254,1471.0938298577,1135.4246734985,1014.2693127865,514.8808254602,609.3669403018,1962.5777843267,2109.7067093702,1503.8874024378,1129.055873646,534.8624919713,940.9620153035,153.4259957041,705.000466251,819.9343116272,659.7560393129
